Timestamp,PPXDK00 |FO 380 CST 3.5%S FOB SPORE CARGO(USD/MT) : CLOSE,PPXDK00 |FO 380 CST 3.5%S FOB SPORE CARGO(USD/MT) : HIGH,PPXDK00 |FO 380 CST 3.5%S FOB SPORE CARGO(USD/MT) : LOW
3/10/2023,422.02,422.04,422
3/9/2023,428.85,428.87,428.83
3/8/2023,434.28,434.3,434.26
3/7/2023,450.84,450.86,450.82
3/6/2023,448.54,448.56,448.52
3/3/2023,445.61,445.63,445.59
3/2/2023,437.81,437.83,437.79
3/1/2023,427.99,428.01,427.97
2/28/2023,404.78,404.8,404.76
2/27/2023,405.89,405.91,405.87
2/24/2023,402.68,402.7,402.66
2/23/2023,403.12,403.14,403.1
2/22/2023,412.03,412.05,412.01
2/21/2023,408.13,408.15,408.11
2/20/2023,406.02,406.04,406
2/17/2023,404.75,404.77,404.73
2/16/2023,413.5,413.52,413.48
2/15/2023,401.87,401.89,401.85
2/14/2023,408.89,408.91,408.87
2/13/2023,400.96,400.98,400.94
2/10/2023,396.19,396.21,396.17
2/9/2023,396.99,397.01,396.97
2/8/2023,380.63,380.65,380.61
2/7/2023,368.03,368.05,368.01
2/6/2023,355.3,355.32,355.28
2/3/2023,358.61,358.63,358.59
2/2/2023,371.91,371.93,371.89
2/1/2023,388.7,388.72,388.68
1/31/2023,380.32,380.34,380.3
1/30/2023,389.44,389.46,389.42
1/27/2023,405.47,405.49,405.45
1/26/2023,395.49,395.51,395.47
1/25/2023,399.37,399.39,399.35
1/20/2023,396.4,396.42,396.38
1/19/2023,391.26,391.28,391.24
1/18/2023,395.09,395.11,395.07
1/17/2023,379.32,379.34,379.3
1/16/2023,368.7,368.72,368.68
