Trade_#,Trade_Type,Direction,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Units,Entry_Notional,Conviction,Realized_PnL,Unrealized_PnL,PnL_Pct
134,REDUCE,LONG,2021-12-15,73.87999725341797,2021-12-23,76.8499984741211,3396.92318974738,250964.67592860825,0.547999,5987.030137632421,0.0,2.3856067055969055
135,REDUCE,LONG,2021-12-16,75.0199966430664,2021-12-23,76.8499984741211,7762.395343127042,582334.872583545,0.40473068,13892.219769382244,0.0,2.385606705596905
136,ADD_ON,LONG,2021-12-17,73.5199966430664,2021-12-23,76.8499984741211,27770.11357716492,2041658.6569707377,0.9342654,48705.94582609364,0.0,2.3856067055969055
137,ADD_ON,LONG,2021-12-20,71.5199966430664,2021-12-23,76.8499984741211,3121.4969565287684,223249.4518522795,0.96346855,5325.853893596314,0.0,2.385606705596905
138,REDUCE,LONG,2021-12-21,73.9800033569336,2021-12-23,76.8499984741211,2961.0669659584964,219059.74408171474,0.9442985,5225.903944076807,0.0,2.385606705596906
139,REDUCE,LONG,2021-12-22,75.29000091552734,2021-12-23,76.8499984741211,6924.766281134915,521365.6596464606,0.8258294,12437.734137205503,0.0,2.3856067055969055
140,NEW,SHORT,2021-12-23,76.8499984741211,2021-12-31,77.77999877929688,43615.825517090634,3351876.1244359473,0.72144926,-18570.05055529064,0.0,-0.5540195957693872
141,ADD_ON,SHORT,2021-12-27,78.5999984741211,2021-12-31,77.77999877929688,11977.753230983955,941451.3856787379,0.47671267,-5215.825161302639,0.0,-0.5540195957693872
142,REDUCE,SHORT,2021-12-30,79.31999969482422,2021-12-31,77.77999877929688,13437.378716388052,1065852.8756831377,0.7583666,-5905.033793356109,0.0,-0.5540195957693872
143,NEW,LONG,2021-12-31,77.77999877929688,2022-03-07,123.20999908447266,40962.385697889615,3186054.309578942,0.65763795,368125.0750446929,0.0,11.55426239715741
144,ADD_ON,LONG,2022-01-03,78.9800033569336,2022-03-07,123.20999908447266,252.29754707312532,19926.46111478155,0.6775955,2302.355603669398,0.0,11.554262397157412
145,REDUCE,LONG,2022-01-04,80.0,2022-03-07,123.20999908447266,1019.5286528225115,81562.29222580092,0.66734457,9423.921260905357,0.0,11.554262397157409
146,ADD_ON,LONG,2022-01-05,80.80000305175781,2022-03-07,123.20999908447266,9228.389335606502,745653.8864798147,0.8690798,86154.80661848004,0.0,11.554262397157412
147,REDUCE,LONG,2022-01-06,81.98999786376953,2022-03-07,123.20999908447266,2702.4811953448225,221576.42743319934,0.8268652,25601.52183587893,0.0,11.554262397157412
148,ADD_ON,LONG,2022-01-07,81.75,2022-03-07,123.20999908447266,6594.650229565377,539112.6562669696,0.9637829,62290.490921370954,0.0,11.554262397157409
149,ADD_ON,LONG,2022-01-10,80.87000274658203,2022-03-07,123.20999908447266,1348.983289957876,109092.2823639867,0.9799087,12604.808559382902,0.0,11.554262397157412
150,REDUCE,LONG,2022-01-11,83.72000122070312,2022-03-07,123.20999908447266,4066.6543643010664,340460.308343463,0.93201315,39337.677384174924,0.0,11.554262397157412
151,REDUCE,LONG,2022-01-12,84.66999816894531,2022-03-07,123.20999908447266,1236.9128314740083,104729.40717604924,0.9173173,12100.710512108133,0.0,11.554262397157412
152,ADD_ON,LONG,2022-01-13,84.47000122070312,2022-03-07,123.20999908447266,1704.79335681066,144003.89693084304,0.9521061,16638.588113521713,0.0,11.55426239715741
153,REDUCE,LONG,2022-01-14,86.05999755859375,2022-03-07,123.20999908447266,6823.853929282253,587260.8524942311,0.8208512,67853.659852967,0.0,11.554262397157412
154,REDUCE,LONG,2022-01-18,87.51000213623047,2022-03-07,123.20999908447266,1361.2191555436875,119120.29120950593,0.80659425,13763.471014604349,0.0,11.55426239715741
155,REDUCE,LONG,2022-01-19,88.44000244140625,2022-03-07,123.20999908447266,1610.1309308037744,142399.98345126954,0.78000414,16453.26774146841,0.0,11.554262397157409
156,ADD_ON,LONG,2022-01-20,88.37999725341797,2022-03-07,123.20999908447266,4136.722912700985,365603.55966266425,0.8741859,42242.794616772175,0.0,11.55426239715741
157,ADD_ON,LONG,2022-01-21,87.88999938964844,2022-03-07,123.20999908447266,4301.297860444807,378041.0663291902,0.9664651,43679.85677268654,0.0,11.554262397157412
